"","Camp","Burn440_Area","PreburnAr","Prop_HabBurn440"
"260","Kurnell",281728.435413,92011705.52588,0.00306187602765127
"261","Lansdowne State Forest (Pipeclay Creek)",376817262.06959,991694985.57204,0.379972942842128
"262","Lismore, Rotary Park",247433718.774758,890870684.39333,0.277743698506879
"263","Macksville",430561362.42924,929850805.37896,0.463043490351944
"264","Maclean",714226107.79484,1801006091.5085,0.396570623032492
"265","Macquarie Fields",21029672.176443,255475446.48532,0.0823158251243193
"266","Maitland - Hannan st",11258671.6122927,527595015.639805,0.0213396095083262
"267","Medowie",6488879.246459,593980178.122783,0.0109244036845918
"268","Mittagong",163327207.25101,389186113.217839,0.419663502123959
"269","Morisset (Mandalong)",25522367.9359212,260223781.709258,0.0980785375121354
"270","Moruya Heads",6673367.43611,32484377.28185,0.205433134155803
"271","Mossvale",159408130.73286,350320571.531759,0.455035027020697
"272","Murrurindi",248834.9982,117958220.55392,0.00210951807370013
"273","Muswellbrook",3604908.919823,306443419.748917,0.0117637015106301
"274","Nambucca - Gordon park",271748656.337995,624447111.906701,0.435182821981883
"275","Newcastle, Blackbutt Reserve",4012162.8295177,347117709.464601,0.0115585080222675
"276","North Urunga (Kalang River)",270149652.591225,593828164.21126,0.454928999452301
"277","North Woodburn",551583442.92783,1167402928.3827,0.472487630035316
"278","Nowra, Brinawarr st",9837292.217331,50313661.23837,0.195519307782534
"279","Nowra, Bugong Creek",13750192.603931,86878043.97867,0.158270052757022
"280","Nowra, Comerong Island",4899794.810331,29302661.79837,0.167213301100297
"281","Nymboida",1404626151.42716,2338287937.38673,0.600707093839337
"282","Oatley",6332299.120863,209320298.93672,0.0302517202250763
"283","Pacific Palms Recreation",72211573.8093,555672213.9332,0.129953544551322
"284","Pambula",11561464.93,91465392.7058,0.126402616202476
"285","Parramatta Park 1",20026589.029103,235750537.365064,0.0849482221883188
"286","Picton",125421571.779447,377516675.3322,0.332227898725482
"287","Port Macquarie, Kooloonbung Creek",251535198.493939,964517905.29324,0.260788521512688
"288","Raymond Terrace",6300107.222647,626075924.791014,0.0100628485670488
"289","Red Hill",559681161.64263,1468954715.76307,0.381006409276473
"290","Ropes Creek",26640822.333823,252574948.12395,0.105476899160835
"291","Schnapper Island",7435084.30368,626384730.65958,0.0118698364435718
"292","Shellharbour, Blackbutt Reserve",5080823.55327,75433202.53157,0.0673552677435854
"293","Singleton, Burdekin Park",21258447.0835772,370061130.325473,0.0574457713645315
"294","Smiths Lake",72196436.4442,591790697.1472,0.121996572085759
"295","Suffolk Park",1422534.3938,181606135.5836,0.00783307452266752
"296","Tamworth, Gipps Street",8217.849979,9874634.523,0.000832218140312837
"297","Tamworth, King George Avenue",9243.280754,9875659.954,0.000935965879450531
"298","Taree, Coocumbac Island",318915519.446483,910294635.60092,0.350343182277412
"299","Tenambit",11074161.1508837,551848392.612598,0.0200673976750311
"300","Thora (Hobarts Bridge)",744753009.556925,1087103697.04588,0.685080008080861
"301","Tocal",11147175.8430795,645130204.412675,0.0172789551114381
"302","Toormina",241216792.9776,535910564.648994,0.450106433590444
"303","Tuross, Foam st",9511590.60359,34874024.953,0.272741406144225
"304","Wallaga Lake",24050509.8893,90943339.6645,0.264455978612892
"305","Wandandian, Bewong Creek",8513084.3556,47805776.763,0.178076478033275
"306","Warriewood",14552787.487573,130094266.371666,0.111863404079602
"307","Watanobbi",18321174.1627922,220073308.173645,0.0832503237890903
"308","West Dapto",11204012.73477,122420445.53657,0.0915207642454061
"309","Wetherill Pk",18669788.354243,251535920.5533,0.0742231499706894
"310","Wingham Brush",401787025.89753,1030204841.14797,0.390006928573364
"311","Wolli Creek",667937.918313,161483515.415701,0.00413626069876886
"312","Wollongong, Figtree",7975715.81347,131568568.44997,0.0606202218921522
"313","Woodburn",579226506.67733,1211414498.04437,0.478140642705198
"314","Woolgoolga Lake",273112235.14676,780209529.17573,0.350049858318567
"315","Wootton",73001663.8045,761388923.582901,0.0958795978551578
"316","Woywoy, Everglades",17959106.666062,137525200.129778,0.130587751547459
"317","Yamba (Fishers Lane Island)",664675562.1761,1565327187.5085,0.424624045043293
"318","Yamba Shores",593812280.21072,1350567700.48339,0.439676056223013
"319","Yarramundi",27330507.687423,200016721.33827,0.136641114325644
"320","Yatteyattah",5545127.8888,34073169.111,0.162741771120135
"321","Yetman",1041251.6,3606530.347,0.288712834723861
"322","Yeppoon, Ross Creek",0,1934262.04185,0
